Date,Habit,Category,Target,Completed,Time Spent (Minutes),Mood,Current Streak,Notes
2025-01-07,Exercise,Fitness,1,Yes,76,Neutral,7,Weekend break
2025-01-07,Reading,Learning,1,No,0,Neutral,0,Weekend break
2025-01-07,Meditation,Health,1,Yes,64,Tired,2,Very productive
2025-01-07,Coding,Learning,1,Yes,86,Motivated,2,Felt energetic
2025-01-07,Drink Water,Health,1,Yes,42,Happy,7,Great progress
2025-01-07,Walking,Fitness,1,Yes,22,Tired,7,Completed successfully
2025-01-07,Journal,Personal Growth,1,Yes,76,Stressed,1,Not feeling well
2025-01-07,Yoga,Fitness,1,Yes,80,Happy,1,Felt energetic
2025-01-07,Sleep 8 Hours,Health,1,Yes,23,Neutral,4,Weekend break
2025-01-07,Study,Education,1,Yes,87,Neutral,1,Great progress
2025-01-08,Exercise,Fitness,1,Yes,25,Motivated,8,Great progress
2025-01-08,Reading,Learning,1,Yes,55,Tired,1,Need improvement
2025-01-08,Meditation,Health,1,Yes,55,Neutral,3,Excellent consistency
2025-01-08,Coding,Learning,1,Yes,53,Motivated,3,Skipped due to work
2025-01-08,Drink Water,Health,1,No,0,Happy,0,Completed successfully
2025-01-08,Walking,Fitness,1,Yes,87,Happy,8,Busy schedule
2025-01-08,Journal,Personal Growth,1,Yes,79,Tired,2,Felt energetic
2025-01-08,Yoga,Fitness,1,No,0,Happy,0,Need improvement
2025-01-08,Sleep 8 Hours,Health,1,Yes,35,Motivated,5,Not feeling well
2025-01-08,Study,Education,1,Yes,82,Happy,2,Not feeling well
2025-01-09,Exercise,Fitness,1,Yes,28,Neutral,9,Excellent consistency
2025-01-09,Reading,Learning,1,Yes,28,Stressed,2,Felt energetic
2025-01-09,Meditation,Health,1,Yes,41,Tired,4,Need improvement
2025-01-09,Coding,Learning,1,Yes,48,Stressed,4,Very productive
2025-01-09,Drink Water,Health,1,Yes,21,Happy,1,Weekend break
2025-01-09,Walking,Fitness,1,No,0,Happy,0,Completed successfully
2025-01-09,Journal,Personal Growth,1,Yes,31,Tired,3,Felt energetic
2025-01-09,Yoga,Fitness,1,Yes,85,Motivated,1,Not feeling well
2025-01-09,Sleep 8 Hours,Health,1,Yes,24,Neutral,6,Not feeling well
2025-01-09,Study,Education,1,Yes,62,Stressed,3,Not feeling well
2025-01-10,Exercise,Fitness,1,Yes,31,Happy,10,Excellent consistency
2025-01-10,Reading,Learning,1,Yes,20,Tired,3,Need improvement
2025-01-10,Meditation,Health,1,Yes,28,Tired,5,Not feeling well
2025-01-10,Coding,Learning,1,No,0,Motivated,0,Great progress
2025-01-10,Drink Water,Health,1,Yes,45,Neutral,2,Felt energetic
2025-01-10,Walking,Fitness,1,No,0,Happy,0,Felt energetic
2025-01-10,Journal,Personal Growth,1,Yes,57,Motivated,4,Need improvement
2025-01-10,Yoga,Fitness,1,Yes,28,Motivated,2,Completed successfully
2025-01-10,Sleep 8 Hours,Health,1,No,0,Neutral,0,Need improvement
2025-01-10,Study,Education,1,No,0,Motivated,0,Skipped due to work
2025-01-11,Exercise,Fitness,1,Yes,44,Neutral,11,Completed successfully
2025-01-11,Reading,Learning,1,Yes,66,Tired,4,Excellent consistency
2025-01-11,Meditation,Health,1,No,0,Tired,0,Skipped due to work
2025-01-11,Coding,Learning,1,Yes,66,Stressed,1,Skipped due to work
2025-01-11,Drink Water,Health,1,No,0,Happy,0,Excellent consistency
2025-01-11,Walking,Fitness,1,Yes,48,Happy,1,Busy schedule
2025-01-11,Journal,Personal Growth,1,Yes,59,Tired,5,Weekend break
2025-01-11,Yoga,Fitness,1,Yes,80,Happy,3,Weekend break
2025-01-11,Sleep 8 Hours,Health,1,No,0,Neutral,0,Excellent consistency
2025-01-11,Study,Education,1,Yes,70,Happy,1,Not feeling well
2025-01-12,Exercise,Fitness,1,No,0,Stressed,0,Need improvement
2025-01-12,Reading,Learning,1,Yes,23,Tired,5,Great progress
2025-01-12,Meditation,Health,1,Yes,30,Tired,1,Not feeling well
2025-01-12,Coding,Learning,1,Yes,67,Tired,2,Weekend break
2025-01-12,Drink Water,Health,1,Yes,85,Neutral,1,Need improvement
2025-01-12,Walking,Fitness,1,Yes,63,Neutral,2,Great progress
2025-01-12,Journal,Personal Growth,1,Yes,66,Stressed,6,Completed successfully
2025-01-12,Yoga,Fitness,1,Yes,41,Motivated,4,Great progress
2025-01-12,Sleep 8 Hours,Health,1,Yes,56,Motivated,1,Very productive
2025-01-12,Study,Education,1,Yes,42,Stressed,2,Very productive
2025-01-13,Exercise,Fitness,1,Yes,36,Happy,1,Excellent consistency
2025-01-13,Reading,Learning,1,Yes,57,Happy,6,Need improvement
2025-01-13,Meditation,Health,1,Yes,43,Neutral,2,Felt energetic
2025-01-13,Coding,Learning,1,Yes,46,Motivated,3,Great progress
2025-01-13,Drink Water,Health,1,No,0,Happy,0,Very productive
2025-01-13,Walking,Fitness,1,Yes,88,Neutral,3,Weekend break
2025-01-13,Journal,Personal Growth,1,Yes,46,Neutral,7,Completed successfully
2025-01-13,Yoga,Fitness,1,No,0,Happy,0,Weekend break
2025-01-13,Sleep 8 Hours,Health,1,Yes,81,Motivated,2,Completed successfully
2025-01-13,Study,Education,1,Yes,30,Motivated,3,Felt energetic
2025-01-14,Exercise,Fitness,1,No,0,Stressed,0,Not feeling well
2025-01-14,Reading,Learning,1,Yes,71,Stressed,7,Not feeling well
2025-01-14,Meditation,Health,1,Yes,85,Motivated,3,Felt energetic
2025-01-14,Coding,Learning,1,Yes,75,Motivated,4,Excellent consistency
2025-01-14,Drink Water,Health,1,Yes,50,Stressed,1,Very productive
2025-01-14,Walking,Fitness,1,Yes,50,Motivated,4,Busy schedule
2025-01-14,Journal,Personal Growth,1,Yes,45,Tired,8,Skipped due to work
2025-01-14,Yoga,Fitness,1,Yes,84,Happy,1,Felt energetic
2025-01-14,Sleep 8 Hours,Health,1,Yes,64,Neutral,3,Need improvement
2025-01-14,Study,Education,1,Yes,67,Tired,4,Not feeling well
2025-01-15,Exercise,Fitness,1,Yes,22,Neutral,1,Weekend break
2025-01-15,Reading,Learning,1,Yes,89,Happy,8,Great progress
2025-01-15,Meditation,Health,1,Yes,15,Tired,4,Excellent consistency
2025-01-15,Coding,Learning,1,Yes,68,Stressed,5,Not feeling well
2025-01-15,Drink Water,Health,1,Yes,43,Motivated,2,Need improvement
2025-01-15,Walking,Fitness,1,Yes,77,Happy,5,Weekend break
2025-01-15,Journal,Personal Growth,1,Yes,66,Neutral,9,Very productive
2025-01-15,Yoga,Fitness,1,No,0,Stressed,0,Not feeling well
2025-01-15,Sleep 8 Hours,Health,1,Yes,65,Stressed,4,Great progress
2025-01-15,Study,Education,1,Yes,25,Motivated,5,Felt energetic
2025-01-16,Exercise,Fitness,1,No,0,Neutral,0,Completed successfully
2025-01-16,Reading,Learning,1,Yes,56,Neutral,9,Very productive
2025-01-16,Meditation,Health,1,Yes,63,Tired,5,Weekend break
2025-01-16,Coding,Learning,1,Yes,25,Motivated,6,Completed successfully
2025-01-16,Drink Water,Health,1,Yes,21,Tired,3,Need improvement
2025-01-16,Walking,Fitness,1,Yes,20,Happy,6,Need improvement
2025-01-16,Journal,Personal Growth,1,Yes,17,Stressed,10,Felt energetic
2025-01-16,Yoga,Fitness,1,Yes,75,Happy,1,Great progress
2025-01-16,Sleep 8 Hours,Health,1,No,0,Motivated,0,Excellent consistency
2025-01-16,Study,Education,1,Yes,36,Stressed,6,Great progress
2025-01-17,Exercise,Fitness,1,No,0,Happy,0,Felt energetic
2025-01-17,Reading,Learning,1,No,0,Happy,0,Great progress
2025-01-17,Meditation,Health,1,Yes,54,Stressed,6,Weekend break
2025-01-17,Coding,Learning,1,Yes,40,Happy,7,Great progress
2025-01-17,Drink Water,Health,1,Yes,46,Happy,4,Excellent consistency
2025-01-17,Walking,Fitness,1,No,0,Stressed,0,Busy schedule
2025-01-17,Journal,Personal Growth,1,Yes,87,Happy,11,Skipped due to work
2025-01-17,Yoga,Fitness,1,Yes,62,Happy,2,Not feeling well
2025-01-17,Sleep 8 Hours,Health,1,Yes,16,Motivated,1,Very productive
2025-01-17,Study,Education,1,Yes,61,Motivated,7,Felt energetic
2025-01-18,Exercise,Fitness,1,Yes,81,Tired,1,Great progress
2025-01-18,Reading,Learning,1,No,0,Stressed,0,Very productive
2025-01-18,Meditation,Health,1,Yes,90,Tired,7,Skipped due to work
2025-01-18,Coding,Learning,1,No,0,Happy,0,Excellent consistency
2025-01-18,Drink Water,Health,1,No,0,Neutral,0,Very productive
2025-01-18,Walking,Fitness,1,Yes,63,Tired,1,Completed successfully
2025-01-18,Journal,Personal Growth,1,Yes,56,Neutral,12,Very productive
2025-01-18,Yoga,Fitness,1,Yes,48,Tired,3,Excellent consistency
2025-01-18,Sleep 8 Hours,Health,1,No,0,Tired,0,Not feeling well
2025-01-18,Study,Education,1,Yes,39,Happy,8,Need improvement
2025-01-19,Exercise,Fitness,1,Yes,77,Stressed,2,Need improvement
2025-01-19,Reading,Learning,1,Yes,77,Motivated,1,Completed successfully
2025-01-19,Meditation,Health,1,Yes,43,Motivated,8,Need improvement
2025-01-19,Coding,Learning,1,Yes,89,Tired,1,Very productive
2025-01-19,Drink Water,Health,1,Yes,59,Motivated,1,Not feeling well
2025-01-19,Walking,Fitness,1,Yes,73,Tired,2,Excellent consistency
2025-01-19,Journal,Personal Growth,1,Yes,30,Neutral,13,Skipped due to work
2025-01-19,Yoga,Fitness,1,Yes,83,Neutral,4,Need improvement
2025-01-19,Sleep 8 Hours,Health,1,Yes,76,Tired,1,Great progress
2025-01-19,Study,Education,1,No,0,Stressed,0,Great progress
2025-01-20,Exercise,Fitness,1,Yes,27,Neutral,3,Excellent consistency
2025-01-20,Reading,Learning,1,Yes,37,Tired,2,Completed successfully
2025-01-20,Meditation,Health,1,Yes,31,Tired,9,Completed successfully
2025-01-20,Coding,Learning,1,No,0,Stressed,0,Excellent consistency
2025-01-20,Drink Water,Health,1,Yes,31,Motivated,2,Busy schedule
2025-01-20,Walking,Fitness,1,No,0,Stressed,0,Excellent consistency
2025-01-20,Journal,Personal Growth,1,Yes,71,Tired,14,Felt energetic
2025-01-20,Yoga,Fitness,1,No,0,Tired,0,Very productive
2025-01-20,Sleep 8 Hours,Health,1,Yes,23,Motivated,2,Very productive
2025-01-20,Study,Education,1,Yes,21,Neutral,1,Felt energetic
2025-01-21,Exercise,Fitness,1,No,0,Tired,0,Busy schedule
2025-01-21,Reading,Learning,1,No,0,Happy,0,Not feeling well
2025-01-21,Meditation,Health,1,Yes,43,Stressed,10,Weekend break
2025-01-21,Coding,Learning,1,Yes,71,Tired,1,Great progress
2025-01-21,Drink Water,Health,1,No,0,Tired,0,Great progress
2025-01-21,Walking,Fitness,1,Yes,27,Neutral,1,Need improvement
2025-01-21,Journal,Personal Growth,1,Yes,25,Neutral,15,Need improvement
2025-01-21,Yoga,Fitness,1,Yes,24,Neutral,1,Completed successfully
2025-01-21,Sleep 8 Hours,Health,1,Yes,75,Tired,3,Completed successfully
2025-01-21,Study,Education,1,Yes,51,Motivated,2,Busy schedule
2025-01-22,Exercise,Fitness,1,Yes,48,Stressed,1,Need improvement
2025-01-22,Reading,Learning,1,Yes,84,Neutral,1,Felt energetic
2025-01-22,Meditation,Health,1,No,0,Neutral,0,Busy schedule
2025-01-22,Coding,Learning,1,Yes,54,Stressed,2,Great progress
2025-01-22,Drink Water,Health,1,No,0,Motivated,0,Busy schedule
2025-01-22,Walking,Fitness,1,Yes,53,Motivated,2,Excellent consistency
2025-01-22,Journal,Personal Growth,1,Yes,78,Motivated,16,Busy schedule
2025-01-22,Yoga,Fitness,1,Yes,70,Tired,2,Great progress
2025-01-22,Sleep 8 Hours,Health,1,Yes,26,Neutral,4,Great progress
2025-01-22,Study,Education,1,Yes,17,Tired,3,Great progress
2025-01-23,Exercise,Fitness,1,Yes,37,Motivated,2,Not feeling well
2025-01-23,Reading,Learning,1,Yes,50,Neutral,2,Great progress
2025-01-23,Meditation,Health,1,Yes,77,Happy,1,Very productive
2025-01-23,Coding,Learning,1,Yes,57,Tired,3,Busy schedule
2025-01-23,Drink Water,Health,1,No,0,Tired,0,Weekend break
2025-01-23,Walking,Fitness,1,Yes,51,Motivated,3,Not feeling well
2025-01-23,Journal,Personal Growth,1,Yes,26,Tired,17,Excellent consistency
2025-01-23,Yoga,Fitness,1,Yes,66,Stressed,3,Completed successfully
2025-01-23,Sleep 8 Hours,Health,1,Yes,84,Motivated,5,Weekend break
2025-01-23,Study,Education,1,Yes,81,Tired,4,Great progress
2025-01-24,Exercise,Fitness,1,Yes,71,Happy,3,Need improvement
2025-01-24,Reading,Learning,1,Yes,31,Tired,3,Very productive
2025-01-24,Meditation,Health,1,No,0,Motivated,0,Busy schedule
2025-01-24,Coding,Learning,1,Yes,45,Neutral,4,Excellent consistency
2025-01-24,Drink Water,Health,1,Yes,85,Motivated,1,Busy schedule
2025-01-24,Walking,Fitness,1,Yes,29,Motivated,4,Busy schedule
2025-01-24,Journal,Personal Growth,1,Yes,34,Motivated,18,Excellent consistency
2025-01-24,Yoga,Fitness,1,Yes,49,Motivated,4,Very productive
2025-01-24,Sleep 8 Hours,Health,1,No,0,Neutral,0,Very productive
2025-01-24,Study,Education,1,Yes,64,Neutral,5,Great progress
2025-01-25,Exercise,Fitness,1,Yes,32,Happy,4,Excellent consistency
2025-01-25,Reading,Learning,1,Yes,68,Tired,4,Not feeling well
2025-01-25,Meditation,Health,1,Yes,15,Tired,1,Excellent consistency
2025-01-25,Coding,Learning,1,No,0,Stressed,0,Very productive
2025-01-25,Drink Water,Health,1,No,0,Motivated,0,Not feeling well
2025-01-25,Walking,Fitness,1,Yes,57,Stressed,5,Not feeling well
2025-01-25,Journal,Personal Growth,1,Yes,56,Neutral,19,Need improvement
2025-01-25,Yoga,Fitness,1,Yes,44,Motivated,5,Completed successfully
2025-01-25,Sleep 8 Hours,Health,1,Yes,75,Motivated,1,Weekend break
2025-01-25,Study,Education,1,No,0,Neutral,0,Very productive
2025-01-26,Exercise,Fitness,1,No,0,Neutral,0,Not feeling well
2025-01-26,Reading,Learning,1,No,0,Tired,0,Busy schedule
2025-01-26,Meditation,Health,1,No,0,Motivated,0,Busy schedule
2025-01-26,Coding,Learning,1,Yes,73,Happy,1,Felt energetic
2025-01-26,Drink Water,Health,1,Yes,34,Happy,1,Very productive
2025-01-26,Walking,Fitness,1,Yes,48,Tired,6,Great progress
2025-01-26,Journal,Personal Growth,1,Yes,25,Tired,20,Not feeling well
2025-01-26,Yoga,Fitness,1,Yes,55,Motivated,6,Not feeling well
2025-01-26,Sleep 8 Hours,Health,1,Yes,23,Neutral,2,Excellent consistency
2025-01-26,Study,Education,1,No,0,Happy,0,Weekend break
2025-01-27,Exercise,Fitness,1,No,0,Happy,0,Very productive
2025-01-27,Reading,Learning,1,Yes,53,Happy,1,Completed successfully
2025-01-27,Meditation,Health,1,Yes,22,Tired,1,Skipped due to work
2025-01-27,Coding,Learning,1,Yes,33,Neutral,2,Not feeling well
2025-01-27,Drink Water,Health,1,Yes,38,Neutral,2,Felt energetic
2025-01-27,Walking,Fitness,1,Yes,63,Stressed,7,Need improvement
2025-01-27,Journal,Personal Growth,1,Yes,89,Neutral,21,Need improvement
2025-01-27,Yoga,Fitness,1,Yes,47,Motivated,7,Excellent consistency
2025-01-27,Sleep 8 Hours,Health,1,Yes,74,Tired,3,Not feeling well
2025-01-27,Study,Education,1,Yes,71,Tired,1,Great progress
2025-01-28,Exercise,Fitness,1,Yes,69,Tired,1,Very productive
2025-01-28,Reading,Learning,1,No,0,Neutral,0,Weekend break
2025-01-28,Meditation,Health,1,No,0,Happy,0,Need improvement
2025-01-28,Coding,Learning,1,Yes,60,Stressed,3,Excellent consistency
2025-01-28,Drink Water,Health,1,No,0,Tired,0,Completed successfully
2025-01-28,Walking,Fitness,1,No,0,Motivated,0,Excellent consistency
2025-01-28,Journal,Personal Growth,1,Yes,21,Stressed,22,Very productive
2025-01-28,Yoga,Fitness,1,No,0,Tired,0,Need improvement
2025-01-28,Sleep 8 Hours,Health,1,Yes,60,Neutral,4,Need improvement
2025-01-28,Study,Education,1,Yes,32,Happy,2,Completed successfully
2025-01-29,Exercise,Fitness,1,Yes,71,Happy,2,Great progress
2025-01-29,Reading,Learning,1,Yes,31,Happy,1,Excellent consistency
2025-01-29,Meditation,Health,1,Yes,68,Neutral,1,Need improvement
2025-01-29,Coding,Learning,1,Yes,84,Tired,4,Not feeling well
2025-01-29,Drink Water,Health,1,Yes,49,Neutral,1,Excellent consistency
2025-01-29,Walking,Fitness,1,No,0,Motivated,0,Excellent consistency
2025-01-29,Journal,Personal Growth,1,Yes,58,Happy,23,Very productive
2025-01-29,Yoga,Fitness,1,No,0,Neutral,0,Need improvement
2025-01-29,Sleep 8 Hours,Health,1,No,0,Motivated,0,Not feeling well
2025-01-29,Study,Education,1,Yes,65,Happy,3,Excellent consistency
2025-01-30,Exercise,Fitness,1,Yes,73,Tired,3,Excellent consistency
2025-01-30,Reading,Learning,1,Yes,62,Happy,2,Need improvement
2025-01-30,Meditation,Health,1,Yes,86,Tired,2,Great progress
2025-01-30,Coding,Learning,1,Yes,23,Motivated,5,Excellent consistency
2025-01-30,Drink Water,Health,1,Yes,29,Neutral,2,Completed successfully
2025-01-30,Walking,Fitness,1,No,0,Tired,0,Very productive
2025-01-30,Journal,Personal Growth,1,Yes,45,Stressed,24,Felt energetic
2025-01-30,Yoga,Fitness,1,Yes,62,Stressed,1,Weekend break
2025-01-30,Sleep 8 Hours,Health,1,Yes,34,Motivated,1,Busy schedule
2025-01-30,Study,Education,1,No,0,Stressed,0,Weekend break
2025-01-31,Exercise,Fitness,1,No,0,Tired,0,Completed successfully
2025-01-31,Reading,Learning,1,Yes,42,Motivated,3,Very productive
2025-01-31,Meditation,Health,1,No,0,Tired,0,Busy schedule
2025-01-31,Coding,Learning,1,No,0,Tired,0,Not feeling well
2025-01-31,Drink Water,Health,1,No,0,Tired,0,Completed successfully
2025-01-31,Walking,Fitness,1,Yes,39,Happy,1,Very productive
2025-01-31,Journal,Personal Growth,1,Yes,42,Stressed,25,Completed successfully
2025-01-31,Yoga,Fitness,1,Yes,57,Neutral,2,Felt energetic
2025-01-31,Sleep 8 Hours,Health,1,Yes,41,Happy,2,Not feeling well
2025-01-31,Study,Education,1,Yes,42,Neutral,1,Skipped due to work
2025-02-01,Exercise,Fitness,1,Yes,15,Tired,1,Felt energetic
2025-02-01,Reading,Learning,1,No,0,Stressed,0,Excellent consistency
2025-02-01,Meditation,Health,1,Yes,29,Happy,1,Felt energetic
2025-02-01,Coding,Learning,1,Yes,45,Stressed,1,Skipped due to work
2025-02-01,Drink Water,Health,1,Yes,48,Happy,1,Felt energetic
2025-02-01,Walking,Fitness,1,Yes,82,Happy,2,Busy schedule
2025-02-01,Journal,Personal Growth,1,Yes,61,Stressed,26,Great progress
2025-02-01,Yoga,Fitness,1,Yes,79,Neutral,3,Great progress
2025-02-01,Sleep 8 Hours,Health,1,Yes,81,Tired,3,Very productive
2025-02-01,Study,Education,1,Yes,18,Happy,2,Very productive
2025-02-02,Exercise,Fitness,1,No,0,Motivated,0,Busy schedule
2025-02-02,Reading,Learning,1,Yes,71,Happy,1,Busy schedule
2025-02-02,Meditation,Health,1,Yes,33,Happy,2,Felt energetic
2025-02-02,Coding,Learning,1,Yes,89,Stressed,2,Skipped due to work
2025-02-02,Drink Water,Health,1,Yes,82,Tired,2,Very productive
2025-02-02,Walking,Fitness,1,Yes,70,Happy,3,Busy schedule
2025-02-02,Journal,Personal Growth,1,No,0,Stressed,0,Need improvement
2025-02-02,Yoga,Fitness,1,Yes,44,Motivated,4,Skipped due to work
2025-02-02,Sleep 8 Hours,Health,1,No,0,Motivated,0,Weekend break
2025-02-02,Study,Education,1,Yes,55,Motivated,3,Skipped due to work
2025-02-03,Exercise,Fitness,1,Yes,62,Neutral,1,Very productive
2025-02-03,Reading,Learning,1,Yes,25,Happy,2,Weekend break
2025-02-03,Meditation,Health,1,Yes,62,Neutral,3,Not feeling well
2025-02-03,Coding,Learning,1,Yes,86,Stressed,3,Skipped due to work
2025-02-03,Drink Water,Health,1,Yes,67,Tired,3,Weekend break
2025-02-03,Walking,Fitness,1,No,0,Happy,0,Excellent consistency
2025-02-03,Journal,Personal Growth,1,Yes,60,Happy,1,Great progress
2025-02-03,Yoga,Fitness,1,Yes,34,Motivated,5,Need improvement
2025-02-03,Sleep 8 Hours,Health,1,No,0,Tired,0,Not feeling well
2025-02-03,Study,Education,1,Yes,50,Stressed,4,Need improvement
2025-02-04,Exercise,Fitness,1,No,0,Stressed,0,Great progress
2025-02-04,Reading,Learning,1,Yes,86,Happy,3,Great progress
2025-02-04,Meditation,Health,1,No,0,Tired,0,Completed successfully
2025-02-04,Coding,Learning,1,Yes,54,Tired,4,Skipped due to work
2025-02-04,Drink Water,Health,1,Yes,33,Stressed,4,Weekend break
2025-02-04,Walking,Fitness,1,Yes,18,Happy,1,Not feeling well
2025-02-04,Journal,Personal Growth,1,Yes,68,Motivated,2,Skipped due to work
2025-02-04,Yoga,Fitness,1,Yes,54,Tired,6,Great progress
2025-02-04,Sleep 8 Hours,Health,1,Yes,21,Neutral,1,Felt energetic
2025-02-04,Study,Education,1,Yes,21,Happy,5,Excellent consistency
2025-02-05,Exercise,Fitness,1,Yes,69,Motivated,1,Great progress
2025-02-05,Reading,Learning,1,Yes,49,Neutral,4,Not feeling well
2025-02-05,Meditation,Health,1,Yes,70,Happy,1,Excellent consistency
2025-02-05,Coding,Learning,1,Yes,90,Motivated,5,Not feeling well
2025-02-05,Drink Water,Health,1,Yes,20,Neutral,5,Weekend break
2025-02-05,Walking,Fitness,1,No,0,Happy,0,Completed successfully
2025-02-05,Journal,Personal Growth,1,Yes,42,Neutral,3,Excellent consistency
2025-02-05,Yoga,Fitness,1,Yes,30,Happy,7,Very productive
2025-02-05,Sleep 8 Hours,Health,1,Yes,37,Neutral,2,Weekend break
2025-02-05,Study,Education,1,Yes,44,Stressed,6,Not feeling well
2025-02-06,Exercise,Fitness,1,No,0,Tired,0,Busy schedule
2025-02-06,Reading,Learning,1,Yes,20,Motivated,5,Completed successfully
2025-02-06,Meditation,Health,1,Yes,24,Tired,2,Great progress
2025-02-06,Coding,Learning,1,Yes,66,Motivated,6,Excellent consistency
2025-02-06,Drink Water,Health,1,Yes,17,Tired,6,Felt energetic
2025-02-06,Walking,Fitness,1,No,0,Stressed,0,Very productive
2025-02-06,Journal,Personal Growth,1,No,0,Tired,0,Busy schedule
2025-02-06,Yoga,Fitness,1,Yes,28,Neutral,8,Weekend break
2025-02-06,Sleep 8 Hours,Health,1,Yes,82,Happy,3,Weekend break
2025-02-06,Study,Education,1,No,0,Tired,0,Need improvement
2025-02-07,Exercise,Fitness,1,Yes,36,Happy,1,Not feeling well
2025-02-07,Reading,Learning,1,Yes,82,Stressed,6,Need improvement
2025-02-07,Meditation,Health,1,No,0,Tired,0,Skipped due to work
2025-02-07,Coding,Learning,1,Yes,33,Neutral,7,Busy schedule
2025-02-07,Drink Water,Health,1,Yes,40,Neutral,7,Great progress
2025-02-07,Walking,Fitness,1,Yes,24,Neutral,1,Very productive
2025-02-07,Journal,Personal Growth,1,Yes,87,Stressed,1,Very productive
